;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;RANKING DO SANEAMENTO BÁSICO - 100 MAIORES CIDADES (SNIS 2016);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código do município;Município;UF;Ranking 2018;Ranking 2017;Delta;População Total (IBGE);Operador;Indicador de atendimento total de água (%);Nota atendimento total de água (máx. 0,5);Indicador de atendimento urbano de água (%);Nota atendimento urbano de água (máx. 0,5);Indicador de atendimento total de esgoto (%);Nota atendimento total de esgoto (máx. 1,25);Indicador de atendimento urbano de esgoto (%);Nota atendimento urbano de esgoto (máx. 1,25);Indicador de esgoto tratado por água consumida (%);Nota esgoto tratato por água consumida (máx. 2,5);Investimento 5 anos (Milhões R$);Arrecadação 5 anos (Milhões R$);Indicador de investimento/arrecadação (%);Nota investimento/receita (máx. 1);Novas ligações água;Ligações faltantes para universalização;Indicador novas ligações de água/ligações faltantes (%);Nota novas ligações água/ligações faltantes (máx 0,5);Novas ligações esgoto;Ligações faltantes para universalização;Indicador novas ligações de esgoto/ligações faltantes (%);Nota novas ligações esgoto/ligações faltantes (máx. 1);Indicador perdas no faturamento 2016 (%);Nota perdas no faturamento (máx. 0,5);Indicador perdas no faturamento 2015 (%);Indicador evolução nas perdas de faturamento (%);Nota evolução nas perdas de faturamento (máx. 0,25);Indicador perdas na distribuição 2016 (%);Nota perdas na distribuição (máx. 0,5);Indicador perdas na distribuição 2015 (%);Indicador evolução nas perdas de distribuição (%);Nota evolução nas perdas na distribuição (máx. 0,25);Nota Total (máx. 10);Tarifa média (R$/m³);;;;;;;;;;;;;;;
354340;Ribeirão Preto;SP;21;22;1; 	674.405 ;DAERP;99,40;0,50;99,70;0,50;98,00;1,25;98,28;1,25;89,23;2,50;171,74;1422,04;12,08;0,26; 	1.324 ; 	2.475 ;53,50;0,50; 	1.487 ; 	1.487 ; 	100,00 ;1,00;66,82;0,11;44,70;0,00;0,00;61,48;0,12;23,06;0,00;0,00;7,99;3,19;;;;;;;;;;;;;;;
355220;Sorocaba;SP;22;27;5; 	652.481 ;SAAE;98,49;0,49;99,50;0,50;96,11;1,23;97,10;1,24;76,95;2,40;59,93;1140,83;5,25;0,11; 	5.320 ; 	8.759 ;60,74;0,30; 	6.395 ; 	10.492 ; 	60,95 ;1,00;36,96;0,20;38,71;4,53;0,25;40,95;0,18;41,30;0,84;0,06;7,97;3,11;;;;;;;;;;;;;;;
355030;São Paulo;SP;23;20;-3; 	12.038.175 ;SABESP;99,30;0,50;100,00;0,50;96,30;1,23;97,00;1,24;61,96;1,94;9113,98;28615,06;31,85;0,69; 	83.235 ; 	107.587 ;77,37;0,39; 	71.148 ; 	123.847 ; 	57,45 ;1,00;30,77;0,24;24,71;0,00;0,00;36,69;0,20;30,63;0,00;0,00;7,92;3,66;;;;;;;;;;;;;;;
520870;Goiânia;GO;24;25;1; 	1.448.639 ;SANEAGO;99,62;0,50;100,00;0,50;91,26;1,16;91,61;1,17;67,88;2,12;711,94;3379,69;21,07;0,45; 	17.507 ; 	19.628 ;89,19;0,45; 	19.967 ; 	49.685 ; 	40,19 ;1,00;36,03;0,21;35,36;0,00;0,00;22,53;0,33;22,19;0,00;0,00;7,89;5,22;;;;;;;;;;;;;;;
352940;Mauá;SP;25;21;-4; 	457.696 ;SAMA/ BRK;98,09;0,49;98,10;0,49;92,37;1,18;92,37;1,18;67,45;2,11;270,49;685,86;39,44;0,85; 	1.715 ; 	4.026 ;42,60;0,21; 	6.879 ; 	13.535 ; 	50,82 ;1,00;36,92;0,20;35,87;0,00;0,00;49,05;0,15;48,53;0,00;0,00;7,86;3,09;;;;;;;;;;;;;;;
500270;Campo Grande;MS;26;26;0; 	863.982 ;AG;99,82;0,50;99,80;0,50;77,84;0,99;78,90;1,01;58,38;1,82;647,95;2086,02;31,06;0,67; 	9.124 ; 	9.732 ;93,75;0,47; 	10.587 ; 	58.607 ; 	18,06 ;1,00;31,05;0,24;32,97;5,80;0,25;19,42;0,39;19,28;0,00;0,00;7,84;4,89;;;;;;;;;;;;;;;
330390;Petrópolis;RJ;27;36;9; 	298.158 ;CAI;94,32;0,47;95,60;0,48;83,72;1,07;87,24;1,11;100,00;2,14;54,46;459,78;11,84;0,26; 	7.775 ; 	11.842 ;65,66;0,33; 	5.366 ; 	14.602 ; 	36,75 ;1,00;11,22;0,50;23,01;51,23;0,25;32,36;0,23;21,53;0,00;0,00;7,83;4,47;;;;;;;;;;;;;;;
355250;Suzano;SP;28;12;-16; 	288.056 ;SABESP;100,00;0,50;100,00;0,50;90,00;1,15;93,28;1,19;54,02;1,69;139,32;518,88;26,85;0,58; 	1.885 ; 	1.885 ;100,00;0,50; 	2.884 ; 	9.616 ; 	29,99 ;1,00;18,49;0,41;13,42;0,00;0,00;32,20;0,23;29,50;0,00;0,00;7,74;3,53;;;;;;;;;;;;;;;
354100;Praia Grande;SP;29;32;3; 	304.705 ;SABESP;91,66;0,46;91,70;0,46;70,52;0,90;70,52;0,90;65,91;1,80;495,73;708,01;70,02;1,00; 	2.356 ; 	13.043 ;18,06;0,09; 	4.931 ; 	28.920 ; 	17,05 ;1,00;3,81;0,50;-1,15;430,86;0,25;29,85;0,25;27,65;0,00;0,00;7,61;2,75;;;;;;;;;;;;;;;
310620;Belo Horizonte;MG;30;31;1; 	2.513.451 ;COPASA;95,04;0,48;95,00;0,48;92,49;1,18;92,49;1,18;72,16;2,25;1061,72;6145,26;17,28;0,37; 	1.735 ; 	33.194 ;5,23;0,03; 	12.787 ; 	48.594 ; 	26,31 ;1,00;36,35;0,21;34,34;0,00;0,00;37,36;0,20;37,95;1,55;0,12;7,49;4,29;;;;;;;;;;;;;;;
